"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"dbus","1.14.10","AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)","COPYING","dbus-1.14.10.tar.xz","https://dbus.freedesktop.org/releases/dbus","expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"expat","2.6.1","MIT","COPYING","expat-2.6.1.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.6.1","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libglib2","2.76.1","LGPL-2.1+","COPYING","glib-2.76.1.tar.xz","https://download.gnome.org/sources/glib/2.76","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libffi","3.4.4","MIT","LICENSE","libffi-3.4.4.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.4","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"pcre2","10.42","BSD-3-Clause","LICENCE","pcre2-10.42.tar.bz2","https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.42","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"util-linux-libs","2.39.3","LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libical","1.0.1","MPL-1.0 or LGPL-2.1","LICENSE","libical-1.0.1.tar.gz","https://github.com/libical/libical/releases/download/v1.0.1","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"readline","8.2","GPL-3.0+","COPYING","readline-8.2.tar.gz","http://mirrors.kernel.org/gnu/readline","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"eudev","3.2.14","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","COPYING","eudev-3.2.14.tar.gz","https://github.com/eudev-project/eudev/releases/download/v3.2.14","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"kmod","31","LGPL-2.1+ (library)","libkmod/COPYING","kmod-31.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libopenssl","3.2.1","Apache-2.0","LICENSE.txt","openssl-3.2.1.tar.gz","https://www.openssl.org/source","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libcap","2.69","GPL-2.0 or BSD-3-Clause","License","libcap-2.69.tar.xz","https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libsndfile","1.2.2","LGPL-2.1+","COPYING","libsndfile-1.2.2.tar.xz","https://github.com/libsndfile/libsndfile/releases/download/1.2.2","flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libogg [BSD-3-Clause] libvorbis [BSD-3-Clause] linux-headers [GPL-2.0] opus [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"flac","1.4.3","Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)","COPYING.Xiph COPYING.GPL COPYING.LGPL","flac-1.4.3.tar.xz","https://ftp.osuosl.org/pub/xiph/releases/flac","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libogg [BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libogg","1.3.5","BSD-3-Clause","COPYING","libogg-1.3.5.tar.xz","http://downloads.xiph.org/releases/ogg","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libvorbis","1.3.7","BSD-3-Clause","COPYING","libvorbis-1.3.7.tar.xz","https://downloads.xiph.org/releases/vorbis","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libogg [BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"opus","1.4","BSD-3-Clause","COPYING","opus-1.4.tar.gz","https://downloads.xiph.org/releases/opus","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libtool","2.4.6","LGPL-2.1+","libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","http://mirrors.kernel.org/gnu/libtool","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"sbc","2.0","LGPL-2.1+ (library)","COPYING COPYING.LIB","sbc-2.0.tar.xz","https://cdn.kernel.org/pub/linux/bluetooth","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"alsa-ucm-conf","v1.2.6.3","BSD-3-Clause","LICENSE","alsa-ucm-conf-v1.2.6.3.tar.gz","https://github.com/alsa-project/alsa-ucm-conf/archive/v1.2.6.3","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"android-adbd","8.1.0+r23-8","Apache-2.0","debian/copyright","android-platform-system-core-debian-1%8.1.0+r23-8.tar.gz","https://salsa.debian.org/android-tools-team/android-platform-system-core/-/archive/debian/1%8.1.0+r23-8","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"at-spi2-core","2.50.0","LGPL-2.1+","COPYING","at-spi2-core-2.50.0.tar.xz","https://download.gnome.org/sources/at-spi2-core/2.50","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libglib2 [LGPL-2.1+] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libxml2","2.12.5","MIT","Copyright","libxml2-2.12.5.tar.xz","https://download.gnome.org/sources/libxml2/2.12","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"bash","5.2.15","GPL-3.0+","COPYING","bash-5.2.15.tar.gz","http://mirrors.kernel.org/gnu/bash","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"bluez-alsa","4.1.1","MIT","LICENSE","bluez-alsa-4.1.1.tar.gz","https://github.com/Arkq/bluez-alsa/archive/v4.1.1","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] alsa-plugins [LGPL-2.1+ , GPL-2.0+ (samplerate plugin)] alsa-utils [GPL-2.0] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libbsd [BSD-2-Clause, BSD-3-Clause, BSD-4-Clause, BSD-5-Clause, MIT, ISC, Beerware] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libglib2 [LGPL-2.1+] libical [MPL-1.0 or LGPL-2.1] libmd [BSD-2-Clause, BSD-3-Clause, Beerware, ISC, Public Domain] libogg [BSD-3-Clause] libopenssl [Apache-2.0] libsamplerate [BSD-2-Clause] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] mpg123 [LGPL-2.1] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre2 [BSD-3-Clause] pulseaudio [LGPL-2.1+ (specific license for modules, see LICENSE file)] readline [GPL-3.0+] sbc [LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libbsd","0.11.7","BSD-2-Clause, BSD-3-Clause, BSD-4-Clause, BSD-5-Clause, MIT, ISC, Beerware","COPYING","libbsd-0.11.7.tar.xz","https://libbsd.freedesktop.org/releases","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libmd [BSD-2-Clause, BSD-3-Clause, Beerware, ISC, Public Domain] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libmd","1.1.0","BSD-2-Clause, BSD-3-Clause, Beerware, ISC, Public Domain","COPYING","libmd-1.1.0.tar.xz","https://archive.hadrons.org/software/libmd","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"mpg123","1.32.3","LGPL-2.1","COPYING","mpg123-1.32.3.tar.bz2","https://downloads.sourceforge.net/project/mpg123/mpg123/1.32.3","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"busybox","1.36.1","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.36.1.tar.bz2","https://www.busybox.net/downloads","bash [GPL-3.0+] coreutils [GPL-3.0+] dosfstools [GPL-3.0+] e2fsprogs [GPL-2.0, MIT-like with advertising clause (libss and libet)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] i2c-tools [GPL-2.0+, GPL-2.0 (py-smbus), LGPL-2.1+ (libi2c)] iproute2 [GPL-2.0+] iputils [GPL-2.0+, BSD-3-Clause] kmod [LGPL-2.1+ (library)] libcap [GPL-2.0 or BSD-3-Clause] libidn2 [GPL-2.0+ or LGPL-3.0+ (library)] libopenssl [Apache-2.0] libtirpc [BSD-3-Clause] libunistring [LGPL-3.0+ or GPL-2.0] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] pciutils [GPL-2.0+] pcre2 [BSD-3-Clause] procps-ng [GPL-2.0+, LGPL-2.0+ (libproc and libps)] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"coreutils","9.3","GPL-3.0+","COPYING","coreutils-9.3.tar.xz","http://mirrors.kernel.org/gnu/coreutils","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libcap [GPL-2.0 or BSD-3-Clause] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"dosfstools","4.2","GPL-3.0+","COPYING","dosfstools-4.2.tar.gz","https://github.com/dosfstools/dosfstools/releases/download/v4.2","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"e2fsprogs","1.47.0","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.47.0.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.47.0","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] pcre2 [BSD-3-Clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"util-linux","2.39.3","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] pcre2 [BSD-3-Clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"i2c-tools","4.3","GPL-2.0+, GPL-2.0 (py-smbus), LGPL-2.1+ (libi2c)","COPYING COPYING.LGPL README","i2c-tools-4.3.tar.xz","https://www.kernel.org/pub/software/utils/i2c-tools","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"iproute2","6.7.0","GPL-2.0+","COPYING","iproute2-6.7.0.tar.xz","https://cdn.kernel.org/pub/linux/utils/net/iproute2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libcap [GPL-2.0 or BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"iputils","20240117","GPL-2.0+, BSD-3-Clause","LICENSE Documentation/LICENSE.BSD3 Documentation/LICENSE.GPL2","iputils-20240117.tar.gz","https://github.com/iputils/iputils/releases/download/20240117","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libcap [GPL-2.0 or BSD-3-Clause] libidn2 [GPL-2.0+ or LGPL-3.0+ (library)] libunistring [LGPL-3.0+ or GPL-2.0] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libidn2","2.3.4","GPL-2.0+ or LGPL-3.0+ (library)","COPYING COPYINGv2 COPYING.LESSERv3 COPYING.unicode","libidn2-2.3.4.tar.gz","http://mirrors.kernel.org/gnu/libidn","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libunistring [LGPL-3.0+ or GPL-2.0] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libunistring","1.1","LGPL-3.0+ or GPL-2.0","COPYING COPYING.LIB","libunistring-1.1.tar.xz","http://mirrors.kernel.org/gnu/libunistring","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libtirpc","1.3.4","BSD-3-Clause","COPYING","libtirpc-1.3.4.tar.bz2","http://downloads.sourceforge.net/project/libtirpc/libtirpc/1.3.4","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
